der_name,site_id,score,confidence,customer_name,customer_site,gsp,bsp,primary,poc_kv,gsp_token,bsp_token,primary_token,export_capacity_kW,latitude,longitude,energy_source1,gsp_token_lat,gsp_token_lon,bsp_token_lat,bsp_token_lon,primary_token_lat,primary_token_lon
DER31,LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,904.3458861151206,1.0,LOW CARBON,(ANM) PEMBERTON SOLAR FARM,RAYLEIGH,MALDON GRID 33KV,,33.0,RAYLEIGH,MALDON GRID 33KV,,20000.0,51.7057731191455,0.649967861048468,SOLAR,51.7057731191455,0.649967861048468,51.7057731191455,0.649967861048468,52.31622194834989,0.38185427506228714
DER26,LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,77.1820823144531,1.0,LOW CARBON,(ANM) PEMBERTON SOLAR FARM,RAYLEIGH,MALDON GRID 33KV,,33.0,RAYLEIGH,MALDON GRID 33KV,,20000.0,51.7057731191455,0.649967861048468,SOLAR,51.7057731191455,0.649967861048468,51.7057731191455,0.649967861048468,52.31622194834989,0.38185427506228714
DER33,LOW_CARBON_FARMING_WEST_OF_A134_BURY_ROAD_BRAMFORD,134.70971988444208,0.5988276985730369,LOW CARBON FARMING,WEST OF A134 BURY ROAD,BRAMFORD,THETFORD GRID 33KV,,33.0,BRAMFORD,THETFORD GRID 33KV,,2400.0,52.2921501330751,0.715022515280885,FOSSIL - GAS,52.3240545030167,1.1169282745375375,52.2921501330751,0.715022515280885,52.31622194834989,0.38185427506228714
DER39,CONRAD_ENERGY_DEVELOPMENTS_LTD_ANM_SPARROWHAWK_ROAD_BRAMFORD,9.178099030389035,0.5683662491150638,CONRAD ENERGY (DEVELOPMENTS) LTD,(ANM) SPARROWHAWK ROAD,BRAMFORD,HALESWORTH GRID 33KV,HALESWORTH PRIMARY 11KV,11.0,BRAMFORD,HALESWORTH GRID 33KV,HALESWORTH PRIMARY 11KV,7200.0,52.3559588729583,1.51883403379419,FOSSIL - GAS,52.3240545030167,1.1169282745375375,52.3559588729583,1.51883403379419,52.3559588729583,1.51883403379419
DER28,ANESCO_ANM_BISHOPSTONE_AMERSHAM,11.000621492535876,0.5527514652521652,ANESCO,(ANM) BISHOPSTONE,AMERSHAM,ILMER GRID 33KV,,33.0,AMERSHAM,ILMER GRID 33KV,,19960.0,51.7843003636362,-0.81516083063085,SOLAR,51.74193248646615,-0.8543821395796705,51.7843003636362,-0.81516083063085,52.31622194834989,0.38185427506228714
DER44,STARK_ENERGY_ANM_WHIRLBUSH_FARM_AMERSHAM,18.665393150885183,0.5413594298859249,STARK ENERGY,(ANM) WHIRLBUSH FARM,AMERSHAM,-,,132.0,AMERSHAM,,,36000.0,51.6995646092961,-0.893603448528491,SOLAR,51.74193248646615,-0.8543821395796705,52.20934097302054,0.22140923248940794,52.31622194834989,0.38185427506228714
DER42,WESTWOOD_POWER_STRASBOURG_STREET_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,39.124066743529866,0.3619563951984064,WESTWOOD POWER,STRASBOURG STREET,SELLINDGE SGT2 & 3 & RICHBOROUGH SGT,THANET GRID 33KV,,33.0,SELLINDGE SGT2 3 RICHBOROUGH SGT,THANET GRID 33KV,,21050.0,51.3690942304745,1.38880853928518,FOSSIL - GAS,51.2176011496335,1.145994887080132,51.36864219150295,1.3887320258486,52.31622194834989,0.38185427506228714
DER13,AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,153.51887832223164,0.3234911073189166,AGR PEAK POWER LTD,FDG F-04 CHEAR FARM,BURWELL,HISTON GRID 33KV,,33.0,BURWELL,HISTON GRID 33KV,,15000.0,52.3281432459572,0.202150218963978,FOSSIL - GAS,52.30025566033862,0.25051323660216823,52.3281432459572,0.202150218963978,52.31622194834989,0.38185427506228714
DER21,AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,158.709084902912,0.2849981756280488,AGR PEAK POWER LTD,FDG F-04 CHEAR FARM,BURWELL,HISTON GRID 33KV,,33.0,BURWELL,HISTON GRID 33KV,,15000.0,52.3281432459572,0.202150218963978,FOSSIL - GAS,52.30025566033862,0.25051323660216823,52.3281432459572,0.202150218963978,52.31622194834989,0.38185427506228714
DER45,AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,221.70882325014261,0.2696724575485235,AGR PEAK POWER LTD,FDG F-04 CHEAR FARM,BURWELL,HISTON GRID 33KV,,33.0,BURWELL,HISTON GRID 33KV,,15000.0,52.3281432459572,0.202150218963978,FOSSIL - GAS,52.30025566033862,0.25051323660216823,52.3281432459572,0.202150218963978,52.31622194834989,0.38185427506228714
DER38,ANGLIAN_WATER_SERVICES_LTD_FDG_B_30_KIRBY_BEDON_ROAD_NORWICH_MAIN,26.157805975190808,0.1514005711532885,ANGLIAN WATER SERVICES LTD,FDG B-30 KIRBY BEDON ROAD,NORWICH MAIN,-,THORPE GD LOCAL 11KV,11.0,NORWICH MAIN,,THORPE GD LOCAL 11KV,1500.0,52.6002037072308,1.35586618887413,FOSSIL - GAS,52.675542032782396,1.298189178313961,52.20934097302054,0.22140923248940794,52.6002037072308,1.35586618887413
DER37,LUMINOUS_ENERGY_ANM_BRACON_HALL_NORWICH_MAIN,44.05129165368597,0.14308141674244385,LUMINOUS ENERGY,(ANM) BRACON HALL,NORWICH MAIN,EARLHAM GRID 33KV,,33.0,NORWICH MAIN,EARLHAM GRID 33KV,,20000.0,52.5560059753114,1.21310583831054,SOLAR,52.675542032782396,1.298189178313961,52.5560059753114,1.21310583831054,52.31622194834989,0.38185427506228714
DER3,LUMINOUS_ENERGY_ANM_BRACON_HALL_NORWICH_MAIN,26.589965768263067,0.1420069344267262,LUMINOUS ENERGY,(ANM) BRACON HALL,NORWICH MAIN,EARLHAM GRID 33KV,,33.0,NORWICH MAIN,EARLHAM GRID 33KV,,20000.0,52.5560059753114,1.21310583831054,SOLAR,52.675542032782396,1.298189178313961,52.5560059753114,1.21310583831054,52.31622194834989,0.38185427506228714
DER16,GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,44.52011422708984,0.14089633511999528,GRIDSERVE,BROADLAND GATE,NORWICH MAIN,THORPE GRID 33KV,PEACHMAN WAY PRIMARY 11KV,11.0,NORWICH MAIN,THORPE GRID 33KV,PEACHMAN WAY PRIMARY 11KV,6000.0,52.6289462015871,1.38278028668555,SOLAR,52.675542032782396,1.298189178313961,52.74074696428917,1.3404290405613901,52.6289462015871,1.38278028668555
DER23,GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,56.072187604603826,0.14017492522419836,GRIDSERVE,BROADLAND GATE,NORWICH MAIN,THORPE GRID 33KV,PEACHMAN WAY PRIMARY 11KV,11.0,NORWICH MAIN,THORPE GRID 33KV,PEACHMAN WAY PRIMARY 11KV,6000.0,52.6289462015871,1.38278028668555,SOLAR,52.675542032782396,1.298189178313961,52.74074696428917,1.3404290405613901,52.6289462015871,1.38278028668555
DER7,SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,73.18403375644787,0.137960934997022,SOLARCENTURY HOLDINGS LIMITED,FDG B-12 LAND NEAR PERCH LAKE,NORWICH MAIN,THORPE GRID 33KV,,11.0,NORWICH MAIN,THORPE GRID 33KV,,3850.0,52.7777269552953,1.22776395922146,SOLAR,52.675542032782396,1.298189178313961,52.74074696428917,1.3404290405613901,52.31622194834989,0.38185427506228714
DER36,SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,28.856237316911255,0.13792507587788597,SOLARCENTURY HOLDINGS LIMITED,FDG B-12 LAND NEAR PERCH LAKE,NORWICH MAIN,THORPE GRID 33KV,,11.0,NORWICH MAIN,THORPE GRID 33KV,,3850.0,52.7777269552953,1.22776395922146,SOLAR,52.675542032782396,1.298189178313961,52.74074696428917,1.3404290405613901,52.31622194834989,0.38185427506228714
DER6,GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,18.11254759462076,0.13777322069637238,GRIDSERVE,BROADLAND GATE,NORWICH MAIN,THORPE GRID 33KV,PEACHMAN WAY PRIMARY 11KV,11.0,NORWICH MAIN,THORPE GRID 33KV,PEACHMAN WAY PRIMARY 11KV,6000.0,52.6289462015871,1.38278028668555,SOLAR,52.675542032782396,1.298189178313961,52.74074696428917,1.3404290405613901,52.6289462015871,1.38278028668555
DER4,SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,33.94889824712198,0.1376950605917728,SOLARCENTURY HOLDINGS LIMITED,FDG B-12 LAND NEAR PERCH LAKE,NORWICH MAIN,THORPE GRID 33KV,,11.0,NORWICH MAIN,THORPE GRID 33KV,,3850.0,52.7777269552953,1.22776395922146,SOLAR,52.675542032782396,1.298189178313961,52.74074696428917,1.3404290405613901,52.31622194834989,0.38185427506228714
DER29,SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,208.52713319519003,0.13721149389519752,SOLARCENTURY HOLDINGS LIMITED,FDG B-12 LAND NEAR PERCH LAKE,NORWICH MAIN,THORPE GRID 33KV,,11.0,NORWICH MAIN,THORPE GRID 33KV,,3850.0,52.7777269552953,1.22776395922146,SOLAR,52.675542032782396,1.298189178313961,52.74074696428917,1.3404290405613901,52.31622194834989,0.38185427506228714
DER18,SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,58.900082527919764,0.13649163780443496,SOLARCENTURY HOLDINGS LIMITED,FDG B-12 LAND NEAR PERCH LAKE,NORWICH MAIN,THORPE GRID 33KV,,11.0,NORWICH MAIN,THORPE GRID 33KV,,3850.0,52.7777269552953,1.22776395922146,SOLAR,52.675542032782396,1.298189178313961,52.74074696428917,1.3404290405613901,52.31622194834989,0.38185427506228714
DER19,GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,11.113355884807543,0.13398953652509932,GRIDSERVE,BROADLAND GATE,NORWICH MAIN,THORPE GRID 33KV,PEACHMAN WAY PRIMARY 11KV,11.0,NORWICH MAIN,THORPE GRID 33KV,PEACHMAN WAY PRIMARY 11KV,6000.0,52.6289462015871,1.38278028668555,SOLAR,52.675542032782396,1.298189178313961,52.74074696428917,1.3404290405613901,52.6289462015871,1.38278028668555
DER20,LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,9.995030977381544,0.13224803526020987,LIGHTSOURCE RENEWABLE ENERGY LTD,FDG B-29 LAND SOUTH OF BRICK KILN LANE,NORWICH MAIN,TROWSE GRID 33KV,MULBARTON PRIMARY 11KV,11.0,NORWICH MAIN,TROWSE GRID 33KV,MULBARTON PRIMARY 11KV,3750.0,52.5530294412301,1.25225360656196,SOLAR,52.675542032782396,1.298189178313961,52.5793399749227,1.2958551524071802,52.5530294412301,1.25225360656196
DER22,GREENVALE_AP_FDG_A_07_GREENVALE_MARCH_WALPOLE,124.33313781013878,0.13211232014289973,GREENVALE AP,FDG A-07 GREENVALE MARCH,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,11.0,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,1500.0,52.5210255112729,-0.00523690194418717,WIND ONSHORE,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.4652602239847,0.01735755316023291
DER34,LUMINOUS_ENERGY_ANM_BRACON_HALL_NORWICH_MAIN,52.593937069837764,0.13049923135169963,LUMINOUS ENERGY,(ANM) BRACON HALL,NORWICH MAIN,EARLHAM GRID 33KV,,33.0,NORWICH MAIN,EARLHAM GRID 33KV,,20000.0,52.5560059753114,1.21310583831054,SOLAR,52.675542032782396,1.298189178313961,52.5560059753114,1.21310583831054,52.31622194834989,0.38185427506228714
DER41,GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,34.50155542941486,0.12961815855087114,GRIDSERVE,BROADLAND GATE,NORWICH MAIN,THORPE GRID 33KV,PEACHMAN WAY PRIMARY 11KV,11.0,NORWICH MAIN,THORPE GRID 33KV,PEACHMAN WAY PRIMARY 11KV,6000.0,52.6289462015871,1.38278028668555,SOLAR,52.675542032782396,1.298189178313961,52.74074696428917,1.3404290405613901,52.6289462015871,1.38278028668555
DER40,ANGLIAN_WATER_SERVICES_LTD_FDG_B_30_KIRBY_BEDON_ROAD_NORWICH_MAIN,99.07714402263477,0.12531055540405295,ANGLIAN WATER SERVICES LTD,FDG B-30 KIRBY BEDON ROAD,NORWICH MAIN,-,THORPE GD LOCAL 11KV,11.0,NORWICH MAIN,,THORPE GD LOCAL 11KV,1500.0,52.6002037072308,1.35586618887413,FOSSIL - GAS,52.675542032782396,1.298189178313961,52.20934097302054,0.22140923248940794,52.6002037072308,1.35586618887413
DER25,ECOGEN_LIMITED_FDG_A_02_BOARDINGHOUSE_WALPOLE,60.11932386676061,0.12527909705664497,ECOGEN LIMITED,FDG A-02 BOARDINGHOUSE,WALPOLE,MARCH GRID 33KV,,33.0,WALPOLE,MARCH GRID 33KV,,10250.0,52.5234396935858,0.0377687381469841,WIND ONSHORE,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.31622194834989,0.38185427506228714
DER12,HALLMARK_POWER_LTD_FDG_A_19_CHATTERIS_RD_1_CHATTERIS_RD_2_WALPOLE,255.4071955354862,0.12346828647179339,HALLMARK POWER LTD,FDG A-19 CHATTERIS RD 1 / CHATTERIS RD 2,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,11.0,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,1000.0,52.4247941265028,0.0236704210245393,WIND ONSHORE,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.4652602239847,0.01735755316023291
DER11,HALLMARK_POWER_LTD_FDG_A_19_CHATTERIS_RD_1_CHATTERIS_RD_2_WALPOLE,315.4434695500777,0.12299750267253833,HALLMARK POWER LTD,FDG A-19 CHATTERIS RD 1 / CHATTERIS RD 2,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,11.0,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,1000.0,52.4247941265028,0.0236704210245393,WIND ONSHORE,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.4652602239847,0.01735755316023291
DER27,HALLMARK_POWER_LTD_FDG_A_19_CHATTERIS_RD_1_CHATTERIS_RD_2_WALPOLE,293.3253826150141,0.122965886536184,HALLMARK POWER LTD,FDG A-19 CHATTERIS RD 1 / CHATTERIS RD 2,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,11.0,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,1000.0,52.4247941265028,0.0236704210245393,WIND ONSHORE,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.4652602239847,0.01735755316023291
DER10,HALLMARK_POWER_LTD_FDG_A_19_CHATTERIS_RD_1_CHATTERIS_RD_2_WALPOLE,355.1722668157235,0.12265154217723301,HALLMARK POWER LTD,FDG A-19 CHATTERIS RD 1 / CHATTERIS RD 2,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,11.0,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,1000.0,52.4247941265028,0.0236704210245393,WIND ONSHORE,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.4652602239847,0.01735755316023291
DER24,THE_ABBEY_GROUP_FDG_A_14_HONEYSOME_ROAD_WALPOLE,282.27819366752243,0.12262007263588771,THE ABBEY GROUP,FDG A-14 HONEYSOME ROAD,WALPOLE,MARCH GRID 33KV,,33.0,WALPOLE,MARCH GRID 33KV,,5000.0,52.4567992423764,0.0333654946231978,SOLAR,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.31622194834989,0.38185427506228714
DER9,THE_ABBEY_GROUP_FDG_A_14_HONEYSOME_ROAD_WALPOLE,1045.7714751400931,0.12189994181892595,THE ABBEY GROUP,FDG A-14 HONEYSOME ROAD,WALPOLE,MARCH GRID 33KV,,33.0,WALPOLE,MARCH GRID 33KV,,5000.0,52.4567992423764,0.0333654946231978,SOLAR,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.31622194834989,0.38185427506228714
DER47,ABBEY_GROUP_CAMBRIDGESHIRE_LTD_FDG_A_01_RAMSEY_WINDFARM_NO_2_WALPOLE,508.8833690575431,0.12058023326510722,ABBEY GROUP CAMBRIDGESHIRE LTD,FDG A-01 RAMSEY WINDFARM NO 2,WALPOLE,PETERBOROUGH CENTRAL 33KV,,33.0,WALPOLE,PETERBOROUGH CENTRAL 33KV,,8000.0,52.4610033666658,-0.120205530358042,WIND ONSHORE,52.5300713031535,0.024230795494655955,52.48820904989103,-0.14148973208495433,52.31622194834989,0.38185427506228714
DER8,FORENERGY_FDG_A_04_BURNT_HOUSE_SIDINGS_WALPOLE,217.9665398944129,0.11890738940409963,FORENERGY,FDG A-04 BURNT HOUSE SIDINGS,WALPOLE,MARCH GRID 33KV,,33.0,WALPOLE,MARCH GRID 33KV,,4000.0,52.5300961672196,-0.0260559593287761,SOLAR,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.31622194834989,0.38185427506228714
DER1,THE_ABBEY_GROUP_FDG_A_14_HONEYSOME_ROAD_WALPOLE,1375.5993117700953,0.11841114859136141,THE ABBEY GROUP,FDG A-14 HONEYSOME ROAD,WALPOLE,MARCH GRID 33KV,,33.0,WALPOLE,MARCH GRID 33KV,,5000.0,52.4567992423764,0.0333654946231978,SOLAR,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.31622194834989,0.38185427506228714
DER43,ECOGEN_LIMITED_FDG_A_02_BOARDINGHOUSE_WALPOLE,497.34714607971415,0.1115454464284989,ECOGEN LIMITED,FDG A-02 BOARDINGHOUSE,WALPOLE,MARCH GRID 33KV,,33.0,WALPOLE,MARCH GRID 33KV,,10250.0,52.5234396935858,0.0377687381469841,WIND ONSHORE,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.31622194834989,0.38185427506228714
DER35,FORENERGY_FDG_A_04_BURNT_HOUSE_SIDINGS_WALPOLE,1665.4435093114407,0.11017553847251002,FORENERGY,FDG A-04 BURNT HOUSE SIDINGS,WALPOLE,MARCH GRID 33KV,,33.0,WALPOLE,MARCH GRID 33KV,,4000.0,52.5300961672196,-0.0260559593287761,SOLAR,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.31622194834989,0.38185427506228714
DER2,FORENERGY_FDG_A_04_BURNT_HOUSE_SIDINGS_WALPOLE,146.45149543993494,0.10770696528626017,FORENERGY,FDG A-04 BURNT HOUSE SIDINGS,WALPOLE,MARCH GRID 33KV,,33.0,WALPOLE,MARCH GRID 33KV,,4000.0,52.5300961672196,-0.0260559593287761,SOLAR,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.31622194834989,0.38185427506228714
DER30,HALLMARK_POWER_LTD_FDG_A_19_CHATTERIS_RD_1_CHATTERIS_RD_2_WALPOLE,0.902880436030231,0.07703437926073553,HALLMARK POWER LTD,FDG A-19 CHATTERIS RD 1 / CHATTERIS RD 2,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,11.0,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,1000.0,52.4247941265028,0.0236704210245393,WIND ONSHORE,52.5300713031535,0.024230795494655955,52.48435262918932,0.016191822153684088,52.4652602239847,0.01735755316023291
DER32,AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,1.6534326597967466,0.05691068888250258,AGR PEAK POWER LTD,FDG F-04 CHEAR FARM,BURWELL,HISTON GRID 33KV,,33.0,BURWELL,HISTON GRID 33KV,,15000.0,52.3281432459572,0.202150218963978,FOSSIL - GAS,52.30025566033862,0.25051323660216823,52.3281432459572,0.202150218963978,52.31622194834989,0.38185427506228714
DER46,LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,24.755999999999993,0.051909882199202804,LIGHTSOURCE RENEWABLE ENERGY LTD,FDG B-29 LAND SOUTH OF BRICK KILN LANE,NORWICH MAIN,TROWSE GRID 33KV,MULBARTON PRIMARY 11KV,11.0,NORWICH MAIN,TROWSE GRID 33KV,MULBARTON PRIMARY 11KV,3750.0,52.5530294412301,1.25225360656196,SOLAR,52.675542032782396,1.298189178313961,52.5793399749227,1.2958551524071802,52.5530294412301,1.25225360656196
