site_id,month,events_count,total_hours,total_kwh
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,1,16,49.299166666666665,708695.4176559108
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,2,9,20.553362222222223,292562.09797878686
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,3,11,7.3372222222222225,99477.3302960205
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,4,13,17.64944444444444,244874.88356970894
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,5,29,35.39388888888889,474832.18500661216
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,6,20,43.69495555555555,629942.5227748277
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,7,21,63.19422,919792.1721647135
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,8,9,31.980555555555554,459998.31789659284
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,9,6,6.235555555555556,79196.83415001763
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,10,9,26.305833333333332,369042.4846431478
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,11,13,17.281388888888888,225593.81672536215
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,12,11,16.711979444444445,223985.1180940416
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,1,1,14.04888888888889,47674.61111111111
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,2,9,37.62193722222222,125702.72222222222
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,3,7,10.833262222222222,34650.72222222222
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,4,4,21.41638888888889,72790.22222222222
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,5,2,12.564722222222223,42713.44444444444
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,6,4,1456.138611111111,240079.3111111111
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,7,1,1.9938888888888888,6713.111111111111
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,8,6,121.64083333333333,12170.255555555557
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,9,2,7.856944444444444,26129.0
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,10,3,26.65361111111111,90118.88888888889
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,11,5,20.18,67347.38888888889
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,12,4,34.153055555555554,114116.27777777778
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,1,319,4480.475744444445,11531832.251124963
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,2,166,568.3664288888889,1122567.0533815112
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,3,662,4402.031643333334,17989887.53886558
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,4,869,6268.011917777778,9763654.482389383
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,5,477,1761.71419,5433521.307072541
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,6,1006,3381.833722222222,19799814.62972931
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,7,898,2323.3844444444444,9422931.10271651
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,8,880,4470.0575733333335,29647287.77244824
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,9,162,669.9133333333333,2110513.958865348
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,10,170,1248.3644444444444,7134703.6282573715
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,11,206,2452.207828888889,11681150.647718342
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,12,81,207.49333333333334,891517.2321358596
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,1,3,20.011388888888888,9991.055555555555
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,2,2,0.7836111111111111,645.0
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,3,7,92.51583333333333,47007.92154123094
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,5,4,5.543191666666667,7161.681874321832
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,6,2,7.7091666666666665,9997.161800227695
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,7,3,15.496944444444445,15691.54775994195
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,8,1,1.1905555555555556,1488.1587256537543
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,9,2,8.794722222222223,7784.944444444444
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,10,1,12.022777777777778,10761.75
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,11,8,468.06194444444446,256755.00418226456
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,12,1,2.1077777777777778,996.3888888888889
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,6,24,7.2851675,70121.18894829645
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,7,49,5.790555555555556,7371.575211046007
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,8,51,5.1975,10327.82938530816
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,10,12,2.964444444444444,32576.419444444444
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,12,1,0.21083333333333332,2628.1944444444443
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,2,7,1.6524999999999999,1857.6460191853844
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,3,22,8.570555555555556,17294.252858954536
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,4,13,17.47972222222222,38898.914797939724
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,5,6,9.121388888888887,20932.193983866375
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,6,21,6.925732222222222,13158.921459011503
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,7,13,3.7327777777777778,6051.092638854981
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,8,23,26.751944444444444,58834.67672636244
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,9,9,12.423451111111111,28230.202465552888
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,10,12,71.88405361111111,170933.28103232489
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,11,16,8.604444444444445,15736.964162919785
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,12,8,13.730277777777777,29728.75286767324
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,1,5,3.173333333333333,47864.15801479764
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,2,2,9.0025,170214.54609490288
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,3,26,35.93479166666666,176372.06562801785
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,4,53,23.583944722222224,174736.16944424098
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,5,33,6.201699444444444,30115.25641659207
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,6,31,27.099166666666665,423339.76391896565
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,7,74,20.614444444444445,204124.08650572036
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,8,85,20.002910833333335,132560.63132612442
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,9,2,0.08388888888888889,129.46202202690972
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,10,2,6.346388888888889,7535.4047299194335
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,11,3,39.95666666666666,67312.04943244086
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,12,4,42.42527777777778,49484.39125288221
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,1,4,3.9105555555555553,32653.263333333332
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,2,2,2.4208333333333334,22250.694444444445
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,3,9,5.653333333333333,27031.66110900879
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,4,3,40.60666666666666,55580.77777777778
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,5,11,131.85916666666668,1300473.765463189
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,6,21,3.9880555555555555,21052.99213663737
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,7,30,4.57,24623.07661098904
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,8,28,21.975833333333334,202344.05263576933
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,1,5,2.3708577777777777,11141.089022081163
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,2,7,41.15138888888889,189834.00489844428
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,3,11,19.983,106085.58716703628
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,4,15,15.473109166666667,47455.43507486979
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,5,1,9.025277777777777,25635.0230383979
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,6,28,81.74916666666667,385226.75436801487
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,7,20,10.775362222222222,51316.23093746609
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,8,8,12.466111111111111,39054.69618513319
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,9,12,12.868611111111111,62866.637915733394
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,10,5,10.115277777777777,55443.80950522105
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,11,4,25.42802111111111,103036.08968482123
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,12,1,15.183171944444444,91049.04615783691
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,1,9,52.84777777777778,186727.5524605984
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,2,4,1.0458333333333334,1923.141795247396
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,3,10,7.649166666666667,22963.909494403204
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,4,9,59.522222222222226,214348.68861046684
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,5,10,34.45305555555556,118995.4589138116
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,6,15,13.692499999999999,44692.51395458645
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,7,18,11.935833333333333,42522.03127078586
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,8,4,2.9930555555555554,10528.976202392578
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,9,2,1.2427777777777778,3093.598919949002
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,10,23,390.5733333333333,1459504.4657733832
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,11,3,10.87861111111111,37656.21203199599
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,1,4,0.44,7936.888888888889
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,2,4,338.8519444444444,3400581.0555555555
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,3,100,176.50380638888888,1024684.1366653611
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,4,130,233.79004388888887,2426586.4644282195
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,5,236,134.87944444444446,767658.7664652338
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,6,314,227.80392527777778,1198305.454784817
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,7,309,125.41111111111111,492531.31763092044
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,8,165,97.13812055555556,558657.141151869
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,1,5,5.798333333333334,54920.64260155572
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,2,1,0.1763888888888889,2586.8055555555557
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,3,8,87.47416666666666,1170716.0997295803
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,4,7,13.491666666666667,86126.84270304361
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,5,3,1.22,11900.921606411404
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,6,5,0.9672222222222222,6293.145310601129
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,7,25,15.692777777777778,127829.37212583753
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,8,4,1.8558333333333334,9247.091512790255
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,9,3,1.2030555555555555,17256.136244439018
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,10,3,1.1588888888888889,8707.915444471571
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,11,2,11.0525,118621.3212262641
PATHFINDER_CLEAN_ENERGY_PACE_LAND_WEST_OF_SPIXWORTH_ROAD_NORWICH_MAIN,12,2,1.1324999999999998,9801.973278503418
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,1,7,31.188888888888886,419698.65475056967
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,2,6,8.173625555555557,77640.2654184299
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,3,5,16.543333333333333,230687.0122764757
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,4,15,26.796666666666667,282439.719881151
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,5,3,2858.5320688888887,12044.860531684028
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,6,11,13.606666666666667,116583.0234733571
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,7,19,126.7911111111111,822877.6448770036
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,8,3,4.095555555555556,34380.77174669054
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,9,1,0.9888888888888889,8045.928553059896
PETERS_ENERGY_STORAGE_FACILITY_ANM_WALNUT_ROAD_WALPOLE,12,1,1.3655555555555556,13619.686854926214
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,3,33,46.041739722222225,982980.9797860166
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,4,29,56.52777777777778,1040580.0989152166
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,5,39,39.02194444444444,586640.8145823732
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,6,49,55.28353222222222,988648.2480533049
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,7,11,8.955277777777777,138370.44669522604
RENEWABLE_CONNECTIONS_DEVELOPMENTS_LTD_ANM_GREEN_END_BURWELL_MAIN_GRID_132KV,8,29,55.83722222222222,709587.7945292685
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,1,21,147.53786944444445,555305.6390244209
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,2,11,443.6131780555556,2509981.3765875925
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,3,28,298.80055555555555,1779754.6680855476
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,4,15,23.10222222222222,35894.710140923395
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,5,29,21.27277777777778,45990.97065266927
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,6,33,41.78111111111111,132576.2225784895
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,7,32,58.12111111111111,210734.8910088094
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,8,44,103.07374333333334,373834.7220125156
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,9,28,81.32138888888889,295133.3713095432
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,10,22,85.25527777777778,314321.4113433838
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,11,5,65.04444444444444,247911.5128515625
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,12,4,33.769999999999996,127759.32107869466
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,1,3,4.9222222222222225,101040.2282447603
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,2,2,4.810277777777777,99960.82350463867
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,3,6,56.49,1056449.2602490913
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,4,1,4.985555555555556,121678.74929195827
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,6,12,7.624444444444444,125145.45424301148
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,7,16,17.47,395399.87082777236
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,8,4,1.1783333333333332,11286.070013461642
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,9,3,15.057500000000001,372111.1708729723
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,10,3,2.848055555555556,45741.579312201604
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,11,3,6.1092080555555555,140272.06288720024
TNEI_GROUP_ANM_BRACON_ASH_NORWICH_MAIN,12,1,2.9769444444444444,50474.561650831434
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,1,2,677.8911111111112,66418.98978860678
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,2,2,191.6577777777778,47178.53575493707
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,3,1,2.201111111111111,24367.776621297202
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,4,5,58.96393666666666,1147657.168488227
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,5,5,153.93664222222222,3196191.4254644094
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,6,5,2244.293333333333,221297.16942409938
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,7,3,1086.1033333333335,195123.55584581164
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,8,6,757.3,212119.46529412165
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,9,4,1078.148888888889,167070.5303507487
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,10,3,2346.1955555555555,6391710.110729031
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,11,6,1300.0309455555557,3973663.633588935
TUPA_SOLAR_1_LIMITED_RICHBOROUGH_ENERGY_PARK_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,12,3,3039.902222222222,225050.98825920952
